--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
189,Jonathon Blum,2014,2015,2,19,0,2,2,-4,2,0,0,0,0,2,0,0,14,0.0,214,11:17,blumjo02
190,Rickard Wallin,2003,2004,2,19,6,4,10,2,14,3,3,0,2,4,0,0,17,35.3,246,12:56,walliri01
191,Ryan White,2017,2017,1,19,2,1,3,-8,14,2,0,0,0,1,0,0,17,11.8,189,9:57,whitery01
192,Anthony Bitetto,2019,2019,1,18,0,0,0,-8,4,0,0,0,0,0,0,0,15,0.0,237,13:11,bitetan01
193,Jordan Leopold,2015,2015,1,18,0,1,1,1,8,0,0,0,0,1,0,0,17,0.0,240,13:19,leopojo01
194,Kyle Quincey,2018,2018,1,18,0,3,3,-4,28,0,0,0,0,3,0,0,11,0.0,257,14:17,quincky01
195,Sean Bergenheim,2015,2015,1,17,1,0,1,-4,6,1,0,0,0,0,0,0,24,4.2,183,10:45,bergese01
196,Brett Bulmer,2012,2016,3,17,0,3,3,-2,15,0,0,0,0,3,0,0,16,0.0,173,10:10,bulmebr01
197,Luke Johnson,2020,2021,2,17,1,0,1,-8,5,1,0,0,0,0,0,0,12,8.3,176,10:22,johnslu01
198,John Klingberg,2023,2023,1,17,2,7,9,3,4,1,1,0,0,4,3,0,34,5.9,339,19:56,klingjo01
199,Mike Lundin,2012,2012,1,17,0,2,2,-1,4,0,0,0,0,2,0,0,9,0.0,344,20:12,lundimi01
200,Gerald Mayhew,2020,2021,2,17,2,1,3,5,2,2,0,0,0,0,1,0,21,9.5,197,11:36,mayhege01
201,Kurtis Gabriel,2016,2017,2,16,0,1,1,1,39,0,0,0,0,1,0,0,4,0.0,89,5:34,gabriku01
